,datetime,city,state,country,shape,duration_s,hours,comments,date_p,latitude,longitude
39083,3/8/2000 13:00,silver spring twp.,pa,us,oval,30,:30 seconds,I was getting gas in a car when I noticed one planes making contrails.It was at about 2 oclock looking up .As I was starting to look aw,3/16/2000,40.247592,-77.03341800000001
39084,3/8/2000 21:30,delft&#44 zuid (netherlands),,nl,other,900,15 minutes,UFO that looks like flying car&#44 with headlights on.,3/16/2000,51.990925,4.364701999999999
39088,3/8/2001 19:45,mt. lincoln (?),vt,us,flash,2,seconds and minutes,Tonight&#44 at about 6:45 PM EST I was traveling home south to my home in the Northeast Kingdom of VT when I saw two white strobe lights h,3/16/2001,44.300053999999996,-73.048455
39103,3/8/2003 19:00,windham,me,us,sphere,60,1 minute,A large turquoise colored sphere that moved slowly across the sky.,3/11/2003,43.810556,-70.416944
39106,3/8/2003 20:15,greenbelt area,md,us,chevron,0,see account.,Totally Silent &#39Flying Wing&#39 Seen Twice Within D.C. Beltway&#44 March 8&#44 2003,4/22/2003,38.988281,-76.946027
39110,3/8/2004 08:00,amsterdam (netherlands),,,diamond,600,10 minutes,IT WAS JET BLACK (THE SIZE OF A SMALL ROOM) DIAMOND SHAPED AND HOVERING ABOUT 50 FEET ABOVE THE GROUND.,3/23/2004,0.0,0.0
39117,3/8/2004 23:20,arluno (milano),,it,oval,4,3-4 seconds,A big oval light is moving in diagonal&#44 suddenly changea direction e move in horizontal. After 1 second it vanishes,3/17/2004,45.505687,8.941011
39120,3/8/2005 18:00,west st. paul,mn,us,sphere,5,5 seconds,Blue glowing sphere descends to Earth between ground witnesses and jet pilots in Twin Cities&#44 Minnesota.,5/24/2005,44.953703000000004,-93.089958
39122,3/8/2005 19:20,milano (italy),,,fireball,600,10 min.,Great &quot;Globe of Light&quot; on the italian sky on March the 8. 2005,5/11/2005,0.0,0.0
39131,3/8/2005 21:40,tacna/yuma (between &#44 at mile markers 94&#44 63&#44 35&#44 21),az,us,formation,2400,within 30-40 minutes,BRIGHT LIGHTS / UFO,5/11/2005,32.697547,-113.953543
39145,3/8/2007 12:30,jefferson,mo,us,unknown,7200,2 hours,I saw 1 craft&#44 which was it looked like a square with red and green lights.  It moved slowly at times. I&#39m not saying it&#39s an alien cra,4/27/2007,38.23103,-90.52578199999999
39153,3/8/2007 21:00,argos,ks,us,unknown,0,,So this morning I was searching for the parameters of Grissom&#39s Military Operations Area north of the base. My search rapidly digressed,4/27/2007,39.011902,-98.484246
39167,3/8/2008 13:45,guadalajara (mexico),,mx,other,0,,amorphous&#44 floating balloon-like object in the sky,8/30/2010,20.659699,-103.349609
39175,3/8/2008 21:25,clinton township,mi,us,cross,600,10 minutes,Orange glow crossed shaped object seen hovering,3/31/2008,42.586888,-82.919551
39178,3/8/2008 23:15,dombivli (india),,in,oval,1500,25 min,Hi&#44 I was just gazing at the sky at the horizon on the East when I saw a light floating in the sky. First I thought that it may be a Ai,3/31/2008,19.209401,73.093948
39181,3/8/2009 15:00,plum island state park,ma,us,sphere,10,10 seconds,Spherical object moving rapidly across the sky at Plum Island State Park MA,3/19/2009,42.733655999999996,-70.785744
39185,3/8/2009 19:28,uk/england,,gb,unknown,120,2 minutes,Coulor changing lights.,3/19/2009,52.355518,-1.17432
39191,3/8/2010 19:30,dunmurry (northern ireland),,gb,light,300,5 minutes,star like object moving across the sky and then dissappear&#44 same time for three nights in a row.,4/13/2010,54.555597999999996,-6.021992
39196,3/8/2011 19:30,w. sacramento,ca,us,cylinder,15,15 seconds,Slightly elongated  brite white light  silently  traveling west to east then blacked out rapidly,3/10/2011,38.580461,-121.53023400000001
39212,3/8/2013 00:45,chennai (india),,in,circle,60,1 minute,I saw a glowing orange light moving slowly in one direction for about 1 to 1.30 mins. It was flying near to the ground&#44 not sure about.,5/15/2013,13.052414,80.250825
39214,3/8/2013 07:56,caniste,ny,us,light,180,3 minutes,4 orange lights in the sky appeared were nonmoving for a few minutes then disappeared 1 at a time.,5/15/2013,42.270348999999996,-77.605822
39227,3/8/2014 03:00,everett/snohomish,wa,us,triangle,240,4+ minutes,Three lights were HOVERING closely or together over Everett/Snohomish flatlands in early AM&#44 as seen from I-5.,3/18/2014,47.978984999999994,-122.202079
39230,3/8/2014 08:30,beaver dam,az,us,circle,0,1-2,Orange light appeared twice in two hours in the almost the same area,3/18/2014,36.9,-113.933333
39233,3/8/2014 19:30,greenacres,fl,us,formation,300,5 minutes,5 red lights bow pattern moving NW disappearing one by one in clear sky,3/18/2014,26.627628,-80.13539
39234,3/8/2014 20:00,los lunas/albuqerque,nm,us,circle,2700,45 minutes,Red/White flashing lights moving in sky.  Over 15 red flashing lights counted&#44 and they were moving seemed to almost &quot;shoot.&quot;,3/18/2014,35.166158,-106.55304
39243,3/9/1984 20:15,arvidsjaur (sweden),,,disk,600,10 minutes,&quot;Leadlight&quot; with saucer behind.,2/3/2012,0.0,0.0
39249,3/9/1997 00:05,ilirska bistrica (slovenia),,,light,60,1 min,Light (hat shaped) seen. Observed through binoculars&#44 approx. 1 min. Turning abruptly. Fast egression. Moving GIF scetch included.,9/12/1999,0.0,0.0
39250,3/9/1997 01:00,arizona (desert; on route 66),az,us,triangle,7200,2 hours,There were smaller lights flying around the hugh triangle firing lasers and they blew up something.,5/15/2006,34.048928000000004,-111.093731
39251,3/9/1997 21:10,ilirska bistrica,,,unknown,1.5,1.5 sec,Dark object with numerous lights on trailing edge passed nearby. Moving GIF scetch included.,9/12/1999,0.0,0.0
39252,3/9/1998 19:40,butte county,ca,,light,20,20 seconds,A single star-like object moved in straight line&#44 west to east&#44 traversing overhead from horizon begining to horizon ending within 18-2,1/28/1999,0.0,0.0
39256,3/9/1999 21:45,howell,nj,us,triangle,900,15 min.,A large triangular shaped object travelling from NE to SW at approx. 2&#44000 ft.,4/2/1999,40.164578999999996,-74.208267
39260,3/9/2000 19:00,memphis (near west memphis),ar,us,fireball,5,about 3 to 5 seconds,I also saw a fireball the night all the unusual activity was reported in AR.,5/11/2000,35.149534,-90.04898
39263,3/9/2000 19:30,istanbul (turkey),,tr,light,30,30 secs,2 star lights rotate  around each other&#44 one remained constant&#44 other moved...,9/13/2002,41.00527,28.97696
39284,3/9/2002 02:00,ashgrove,mo,us,unknown,0,unknown,strange sounds,3/19/2002,37.315326,-93.5852
39288,3/9/2003 21:15,fakenham&#44 norfolk  (uk/england),,gb,changing,20,20 secs,..the light was a very rich red and was clearly seen against the clear dark night sky.,3/21/2003,52.831332999999994,0.849324
39291,3/9/2004 13:01,mississippi,wv,us,egg,900,15 minutes,hovered flashed then left,9/9/2004,39.612699,-79.961536
39292,3/9/2004 16:00,eastpoint,mi,us,disk,0,uncertain,ufo candy stripes boy&#39s pillow &#44father snaps picture of ufo,3/17/2004,42.46837,-82.955475
39312,3/9/2005 19:58,thetford,vt,us,flash,600,10 minutes,There were 3-4 round amber looking shaped in the sky lighting up as if they were trying to connect with one another,5/11/2005,43.825058,-72.24346899999999
39316,3/9/2005 21:54,coydon,in,us,circle,3300,55 minutes,Large White Light as bright as baseball field Lights  + two small red blinking lights.  ((NUFORC Note:  Report from student.  PD)),5/11/2005,38.212012,-86.121915
39320,3/9/2006 12:00,estonia,,ee,teardrop,180,3 min,A teardrop shaped object seen.,7/16/2006,58.595271999999994,25.013607
39321,3/9/2006 14:10,china spring (or surrounding communities),tx,us,other,10,5-10 seconds,Ships form Triangle in Daylight,3/11/2006,31.652213,-97.307964
39330,3/9/2007 18:22,tijuana (mexico),,mx,sphere,0,unknow,circule on the sun in the midtle of it. 5 or 6 pictures same mark diferent camera.,10/8/2007,32.514947,-117.038247
39350,3/9/2009 20:30,beijing (china),,cn,oval,1800,30 min,Silent oval UFO with multicolor flashing lights over Beijing for 30min at 20:30 3/10/09.,3/19/2009,39.90403,116.407526
39354,3/9/2010 07:55,johannesburg (south africa),,,disk,1,seconde,C etait un matin avec une espece d etrange brouillard qui etait localise a un point precis de la ville: Aux alentours de Mandela Bridge,11/21/2010,0.0,0.0
39359,3/9/2011 00:24,aubange (belgium),,be,light,180,3 min,Pris en photo Lors d&#39observation d&#39&Atilde;&copy;toile avec le t&Atilde;&copy;lescope et webcame au foyer du t&Atilde;&copy;lescope le d&Atilde;&copy;placement d&#39un ovni (trois points,10/10/2011,49.569262,5.803999
39360,3/9/2011 03:00,san luis potosi (mexico),,mx,other,240,4 minutes,Strange silent object hovering over my daughters bed,3/10/2011,22.156470000000002,-100.985541
39363,3/9/2011 13:00,florida,fl,us,,10,10 sec,the Nasa space shuttle landing there is a ufo caught on the news feed check it out plane as day,3/10/2011,27.664827000000002,-81.515754
39366,3/9/2011 20:00,maze district&#44 canyonlands national park,ut,us,light,180,3 minutes,Bright&#44 constant&#44 light moving quickly from the Western to Eastern horizon over Utah emitting no noise.  ((NUFORC Note:  ISS.  PD)),4/3/2011,38.326869,-109.87825900000001
39369,3/9/2012 00:45,draper/suncrest,ut,us,circle,15,15 seconds,Driving saw a bright light above the car and a circular round plate looking object,3/13/2012,40.472683,-111.824715
39414,3/9/2014 01:00,kuala lumpur (malaysia),,my,changing,0,,Strange lights?,3/18/2014,3.1390029999999998,101.68685500000001
39416,3/9/2014 06:00,hillsville,nc,us,cigar,0,5,A bright cigar shaped UFO seen over Huntsville&#44 NC&#44 USA,3/18/2014,35.834981,-79.93936
39417,3/9/2014 16:45,toluca lake,ca,us,other,120,2 minutes,Bright Pinpoint of Light Near Aircraft Contrail.,3/18/2014,34.150179,-118.35496100000002
39424,3/9/2014 21:00,allahabad (india),,in,fireball,900,15 minutes,A UFO FLYING.,3/18/2014,25.435801,81.846311
39435,4/10/1957 24:00,dublin (ireland),,,disk,0,,ireland: night of sputnik sighting,1/10/2009,0.0,0.0
39440,4/10/1979 02:30,caribbean sea,,,unknown,1200,20 minutes,Underwater lights approached the ship from behind and hovered for around 20 minutes,7/16/2003,14.540110999999998,-74.967637
39445,4/10/1992 01:00,yosemite national park,ca,us,formation,1800,30 minutes,A group of lights in darting flight pattern (impossible to be from earth) over Yosemite&#44 seemed to be aware of my watching.,9/2/2005,37.865101,-119.538329
39448,4/10/1994 03:30,nr. resende/ rio de janeiro state (brazil),,br,disk,20,0:20,event commenced as light in the sky advancing slowly and erratic east to westerly direction. when it got closer commenced changing colo,6/12/2002,-22.470966,-44.451335
39453,4/10/1995 02:25,tajunga,ca,us,,7,7sec.,Woman witnesses big ball of white light descending in E sky.  Size of full moon.  NBC newsman reported&#44 also.,11/2/1999,34.259648,-118.308275
39454,4/10/1995 12:00,yarldey,pa,us,other,300,5 minutes,While in Trafic on Oxford Valley Road on way to eh Oxford Valley Mall craft flew over SLOWLY and very low.,1/7/2000,40.245664,-74.845997
39456,4/10/1996 23:00,moundhouse,nv,us,disk,0,unknown,I may be the only human alive that remembers seeing the inside&#33,9/2/2005,39.213570000000004,-119.675917
39458,4/10/1997 01:30,tompson,ga,us,light,14400,4 hrs.,At around 1:30 am. we saw a light searching the top of the trees.We discounted it as a hellicopter of poachers.After aboout an hour&#44hou,3/7/1998,33.470693,-82.504573
39461,4/10/1998 11:25,shenzhen (china),,cn,circle,3600,1hr,the diameter looks 50m approximation.in the center&#44looks like black clouds&#44and  something like rainbow around it.,1/28/1999,22.543098999999998,114.057868
39462,4/10/1998 11:30,fort lewis,wa,,circle,180,3 minutes,it was about double the size of a comercial aircraft it had lights lighting in sequence from side to side i watched it go downward unti,11/20/2002,0.0,0.0
39465,4/10/1998 23:50,northern ireland,,gb,triangle,420,7 minutes,The object went over the top of me at bicycle speed with no noise.,7/8/2004,54.787715000000006,-6.4923150000000005
39466,4/10/1999 02:58,vla radio telescope (near&#44 hwy. 60),nm,us,light,960,16 minutes,LIGHT THE SIZE OF SILVER DOLLAR AT ARM&#39S LENGTH SEEN HOVERING JUST ABOVE HIGHWAY. RAPIDLY CHANGING COLORS FROM WHITE-RED-BLUE-GREEN-ORA,5/24/1999,34.519940000000005,-105.87008999999999
39474,4/10/2000 18:00,greers ferry,ga,us,,120,2 min,Silent Triangle Lights over Greers Ferry Lake,12/12/2009,32.165622,-82.900075
39475,4/10/2000 21:30,brentwood&#44 essex (uk/england),,gb,unknown,10,10 seconds,Two brigt lights were moving towards us.,7/16/2006,51.620475,0.307175
39492,4/10/2002 23:20,at a pullout on the highway,id,,triangle,10,10 seconds,Three star like objects moved slowly then faded one by one,4/25/2002,0.0,0.0
39502,4/10/2004 12:30,battleground,wa,us,sphere,120,2 minutes,There was a shiny silver spherical object in the sky that made a rolling turn and disappeared.,5/4/2004,45.625406,-122.58442600000001
39520,4/10/2005 24:00,el  zumbador (el cobre) (venezuela),,co,fireball,1200,20 minutes,ORGANIZACI&Oacute;N RESCATE HUMBOLDT / SAR / VENEZUELA http://www.rescate.com e-mail EMERGENCIAS: notisar-owner@egroups.com  WEB MASTER: notis,10/11/2005,7.95,-72.75
39525,4/10/2007 02:00,porsgrun (close to) (norway),,no,triangle,120,2 min,Beings and a landed craft.,2/14/2010,59.13855699999999,9.655515
39548,4/10/2008 22:19,urb la marina (spain),,pe,triangle,20,20 sec,Clear Costa Blanca sighting,6/12/2008,-16.376068,-71.545443
39551,4/10/2009 00:20,tabusintac (canada),nb,ca,sphere,60,1 minute,Large red&#44 glowing object seen in Tabusintac&#44 NB,4/14/2009,47.327155,-65.011012
39553,4/10/2009 04:50,san jose (costa rica),,,circle,2700,45 minutos,Luz brillante circular muy intensa,4/14/2009,0.0,0.0
39556,4/10/2009 11:00,mexico city (mexico),,mx,sphere,20,20 seconds,The object was clearly flying over the Pyramids in Mexico City,4/14/2009,19.432608,-99.133208
39561,4/10/2009 23:50,bernallilo (entering to alburquerque),nm,us,cone,120,2 minutes,Hello&#33 I happened to find this site&#44 and decided to report my observation which took place quite a few months ago while in New Mexico.,2/14/2010,35.30004,-106.55113700000001
39564,4/10/2010 02:00,punnichy area (canada),sk,ca,disk,10,10 secounds,rusty disk moving with no sound moving fast,10/10/2011,51.371196000000005,-104.29742399999999
39565,4/10/2010 05:15,mashantucket,ct,us,cross,1,second,A white and size of a small lam UFO crossed me on CT high way,5/12/2010,41.466190000000005,-71.962659
39575,4/10/2010 21:05,courtown (ireland),,ie,oval,120,2 min,beaming orange light over county wexford ireland,4/13/2010,52.644861999999996,-6.228617
39585,4/10/2012 00:50,mumbai (india),,in,flash,1,1 second,Small bright white flash light with bluish tint rays to it.,4/18/2012,19.075984,72.877656
39604,4/10/2012 22:30,frostburg/lavale,md,us,fireball,2,seconds,Strange blue-green ball of light seen on I68,5/13/2012,39.7012,-78.843179
39606,4/10/2012 23:45,goshen/prospect,ky,us,triangle,1200,15-20 min,Triangular hovering aircraft over goshen/prospect. sighting lasted 15-20 minutes.,5/13/2012,38.372078,-85.591822
39619,4/10/2014 14:04,barcelona (spain),,es,cylinder,30,30 seconds,2 small&#44 cylindrical shaped ufo&#39s in sky over Barcelona.,4/11/2014,41.385064,2.173403
39633,4/10/2014 22:00,east jackson,mi,us,sphere,600,10 minutes,Slow moving group of red lights.  Some in triangle formation.,4/11/2014,42.245869,-84.40134599999999
39640,4/11/1971 23:00,carrolton,ga,us,circle,1800,30 minutes,Lights in the night sky of carrolton,2/12/2004,33.58011,-85.076611
39643,4/11/1984 21:30,southwest city,mo,,light,720,12 minutes,MISSOURI INVESTIGATORS GROUP Report:  The witness noticed some strange lights.,12/7/2006,0.0,0.0
39644,4/11/1986 04:00,aswan (egypt),,eg,disk,3600,1 hour,Sky show of approximately 30 ufos &#39cavorting&#39for 1 hour over Nile river at Aswan&#44Egypt.,6/2/1998,24.088938,32.899829
39651,4/11/1996 20:00,atlantic ocean,,,light,14400,4 hours,During a flight from Boston to Amsterdam a strange point of light could be seen for almost the whole flight.,3/7/1998,-14.599413,-28.673146999999997
39652,4/11/1997 02:30,monreal (canada),pq,ca,disk,40,40 seconds,two seperate UFO sightings&#44 moments apart,12/2/2000,45.50867,-73.55399200000001
39659,4/11/1999 03:50,klaksvik (finland),,fo,light,60,1 minute,Small light seen in sky at night,4/26/1999,62.223889,-6.578611
39669,4/11/2001 22:45,depere,wi,us,disk,20,20 sec.,Disk approach from south to north over us then made hair pin turn above us  heading south again. Disk passed less than 300 feet above u,4/28/2001,44.448881,-88.060381
39678,4/11/2003 09:30,los realejos (tenerife island/spain),,es,oval,20,00:00:20,a oval craft  moved in oposite direction&#180;s with no lights and no noise.,4/22/2003,28.385472999999998,-16.584196
39680,4/11/2003 15:40,stockholm (sweden),,se,disk,60,40-60 seconds,Me and my girlfriend saw a disc hovering over housing area in Stockholm&#44 got about 3 sec on film. http://medlem.spray.se/downloathe/UFO,4/22/2003,59.329322999999995,18.068581
39697,4/11/2005 00:00,northboro,ma,us,circle,3600,1 hour,Small dots flying near the moon.  ((NUFORC Note:  Possible &quot;twinkling&quot; stars.  PD)),4/16/2005,42.314321,-71.570637
39703,4/11/2005 16:30,p. lakes,fl,us,disk,8,8 seconds,Disk shape aircraft with many dark brown windows was seen  levitating low for about eight seconds.,8/12/2008,30.210689000000002,-81.557325
39726,4/11/2008 04:30,hanford nuclear reservation,wa,us,cylinder,5,5 seconds,Low flying black cylinder without any lights or noise,4/17/2008,47.751073999999996,-120.74013899999999
39729,4/11/2008 13:00,shafter,ca,us,light,15,15sec.,dont  no what to say i was amazed it was just like my dream,4/17/2008,35.500514,-119.271776
39739,4/11/2009 22:50,oslo (norway),,no,other,1,ca 1seconds,constant object&#44 (moving parts&#44 V-formation. Oslo),4/14/2009,59.91386899999999,10.752245
39760,4/11/2012 06:30,hyderabad (india),,in,sphere,5400,1.5 hour,Spherical UFO seen in India&#44 Apr 11-2012,5/13/2012,17.385044,78.486671
39769,4/11/2012 20:04,lakeside,az,us,other,1500,25 minutes,Dragonfly shaped object with white and blue lights,5/13/2012,34.153323,-109.973248
39793,4/11/2013 23:00,north huntingdon,pa,us,fireball,180,3 minutes,Fireball with no trail in the sky,5/15/2013,40.330188,-79.730701
39794,4/11/2013 23:40,deerfield &amp; utica,ny,us,light,600,5-10 minutes,Deerfield/ Utica NY areas.,5/15/2013,43.111883,-75.190811
39796,4/11/2014 00:00,southbend,in,us,sphere,1200,15-20 minutes,Basically&#44 a white UFO with a red light would disappear and reappear&#44 had a metallic humming noise in its direction.,5/2/2014,41.676355,-86.25199
39801,4/11/2014 04:40,newtongrange (midlothian)(uk/scotland),,gb,light,720,10-12 minutes,1 fast zipping light/red/green in distance &amp; 1 whiteflash with r/green lights moving away appearing after flash &amp; moving away from it.,4/11/2014,55.865652000000004,-3.0661509999999996
39824,4/1/1945 10:00,pacific ocean,,,disk,86400,all day,April&#44 1945 I saw a disc over our ship&#44 all day as we neard Okinawa.,4/16/2005,-8.783195,-124.508523
39827,4/1/1954 22:00,stanford campus,ca,us,disk,600,10 minutes,Civil Defense plane spotter  reports UFO sighting at Stanford University,7/1/2002,37.427475,-122.169719
39833,4/1/1965 15:00,west germany,,de,disk,8,8 sec.,Saucer with lights&#44 did not appear to be moving fast.,6/12/2007,51.165690999999995,10.451526
39838,4/1/1966 22:00,danang (50 miles from) (viet nam),,vn,disk,300,5 min.,Craft was seen at about 22:00 hours in the combat area none as I Corps. This ia about 50 miles outside of Da nang. The craft was hugh.,10/27/2004,16.054407,108.20216699999999
39841,4/1/1967 13:00,opa locka,fl,,,180,hours,Verifying the 1967 UFO landing at a Miami elementary school yard.,8/12/2008,0.0,0.0
39842,4/1/1967 13:00,opa locka,fl,,oval,7200,2 hours,1967 3 UFO&#39S above Crestview Elementary School&#44 Opa-Locka Fla.&#44 several hundred witnesses,1/5/2011,0.0,0.0
39845,4/1/1967 21:00,tampa (18 miles of) ??,fl,us,light,45,30-45 seconds,I WAS BORN IN 1951&#44SO I WAS 16 YEARS OLD AT THE TIME OF THE SIGHTING. I LIVED AND STILL LIVE ABOUT 5 MILES EAST OF LAKE THONOTOSASSA.I,4/1/2000,27.950575,-82.457178
39858,4/1/1975 20:15,mildura&#44 victoria (australia),,au,disk,1200,20 minutes,A Black Disc with lights going around,7/14/2013,-34.206301,142.135832
39859,4/1/1975 23:00,waterford,ct,us,circle,2400,40 minutes,A Summer Date in July 1979 Near Millstome Power Plant,3/23/2011,41.354240000000004,-72.164816
39868,4/1/1982 04:00,siamese ponds wilderness,ny,us,disk,600,10 minutes,Adirondack fishing trip turns into UFO sighting,4/27/2007,40.705631,-73.978003
39875,4/1/1986 21:00,tikva (near) (israel),,ba,triangle,300,about 5 minutes,triangular craft with red pulsating triangle of lights - seen in Israel,6/12/2007,43.933056,17.784167
39881,4/1/1991 18:00,fort fisher,nc,us,light,1800,30 minutes,Red lights came out of the water&#44 hovered a few seconds then went up at a slight angle at a speed that was incredible. As big as 3 airc,4/2/1999,33.971751,-77.917599
39884,4/1/1992 02:00,fort irwin,ca,,light,1800,30 minutes,fort irwin ca ufo 1992 from ex soldier,3/21/2003,0.0,0.0
39885,4/1/1992 02:00,ft. irwin,ca,,light,900,15 min,Bright light turns night into day.,12/7/2006,0.0,0.0
39886,4/1/1992 02:00,unknown,tx,us,formation,10,10 sec,My friend and I were traveling through the Angelina Forest in East Texas on a two lane highway. There were 80 foot trees on both sides,3/6/2001,32.927371,-97.352588
39895,4/1/1994 22:00,cortlandt manor,ny,,disk,420,5-7 minutes,circular craft hovered emitting green and red.,1/17/2004,0.0,0.0
39903,4/1/1996 19:00,monument valley,ut,us,light,45,45 seconds,run off road by bright light&#44 Monument Valley Utah,6/4/2004,37.004245000000004,-110.173478
39907,4/1/1996 23:00,anamosa/cedar rapids (between),ia,us,fireball,180,2-3 minutes,I was delivering a pizza to a house out of town.  I was returning towards a gravel rode from a suburb.  I came to the end of the drive,5/3/2000,42.106763,-91.016852
39915,4/1/1997 18:30,monument valley,ut,us,light,15,15sec,RUN OFF THE ROAD DRIVING SOUTH INTO MV&#44UT BY A VERY BRIGHT LIGHT-SILENT,3/7/2000,37.004245000000004,-110.173478
39916,4/1/1997 20:00,singapore,,sg,disk,5,5 seconds,i saw this couple of years ago. never know abt this site until recently. i was staring at the skys for stars that nite&#44 suddenly&#44 i saw,8/28/2002,1.352083,103.819836
39927,4/1/1999 00:00,encinitas: along i-5&#44 from encinitas to oceanside over ocean,ca,us,circle,300,5 minutes,sighted an orange ball moving all over the sky near the moon over ocean,4/26/1999,33.036986999999996,-117.291982
39931,4/1/1999 21:30,goring&#44 oxon (uk/england),,gb,formation,900,15mins,Ships flew over house and stopped over field,4/26/1999,51.521767,-1.127205
39941,4/1/2000 21:30,dallas/duncanville area,tx,us,,1800,30 mins,Saucer shaped object with red&#44 green&#44 and blue lights observed approx. 1/4 - 1/2 mile away. Object hovered then appeared to land in woo,4/15/2000,32.6518,-96.908337
39945,4/1/2000 22:15,young city (approx 9 mi. se of graham),tx,us,disk,90,01-01.5 minutes,at first sight&#44 a very bright light aimed horizontially in our direction as we travel south on HWY 16 south of Graham&#44 TX. The light th,2/22/2002,30.023934999999998,-93.85215600000001
39947,4/1/2001 17:05,tucson/marana,az,us,disk,2100,35 min,Returning South from Picacho Peak on Interstate 10 eight miles north of Marana Az on the way returning to Tucson hovering over the city,4/28/2001,32.436381,-111.22244199999999
39948,4/1/2001 19:00,bangalore (india),,in,,10,5-10 seconds,,5/14/2002,12.971599000000001,77.594563
39966,4/1/2003 00:00,kuwait,,kw,oval,120,1-2min,Light in sky resembles eye opening.,10/30/2006,29.311659999999996,47.481766
39975,4/1/2004 00:30,norrk&ouml;ping (sweden),,se,light,10,10 seconds,Lights travelling very fast in the sky with. Faster than anything ive seen from earth.,4/27/2004,58.587745,16.192421
39976,4/1/2004 01:00,black zion,ms,us,disk,1800,30 minutes,((NUFORC Note:  May not be a serious report.  PD))  There were about 10 craft dancing above the trees.,5/24/2005,34.200063,-88.92676800000001
39977,4/1/2004 02:00,puerto de san jose  (near&#44 in ocean) (guatamala),,gt,other,1380,23 minutes,well   all i can tell  is  that this  thing or ufo was shyni  and  came out  of  the water  and  stop   on top  of  us,4/16/2005,13.933333,-90.81666700000001
39989,4/1/2004 22:00,yosemite n.p.,ca,us,unknown,2,a few seconds,Looked up at the night sky...an unusually bright&#44 star-like object simply faded away as though it new I was looking at it,4/9/2004,37.865101,-119.538329
39990,4/1/2004 23:55,haysboro (canada),ab,ca,light,300,5 minutes,HBCCUFO CANADIAN REPORT:  A yellow white light with pulsing red light.,4/9/2004,50.970009000000005,-114.086095
39997,4/1/2005 10:00,blyth,az,us,circle,180,3 min,the object was circular and was following my airplane.,7/5/2005,33.617773,-114.58826100000002
40001,4/1/2005 21:00,lake las vegas henderson,nv,us,light,1200,20 minutes,These flew in formation surveying me alone camping in the Nevada desert,7/4/2012,36.102466,-114.922021
40006,4/1/2006 00:59,windham,me,us,light,3,3+sec,Bright white meteor breaks up over Portland &#44 Maine  ((NUFORC Note:  Other reports.  Possible meteor?  PD)),5/15/2006,43.810556,-70.416944
40017,4/1/2006 23:00,hanford nuclear reservation,wa,us,light,1800,30 minutes,Unusual activity at Hanford Nuclear Reservation&#44WA,8/24/2010,47.751073999999996,-120.74013899999999
40018,4/1/2006 24:00,fairfiled,id,us,light,0,,Multiple sightings of lights and disks over Fairfield&#44 Idaho of several years.  ((NUFORC Note:  Celestial bodies or satellites?  PD)),5/15/2006,43.346568,-114.791728
40037,4/1/2008 17:30,franklin/brentwood,tn,us,circle,180,3 minutes,circular object appeared to be followed by Black military helicopters,7/5/2008,36.003916,-86.806797
40063,4/1/2011 20:30,natomas,ca,us,light,20,10-20 seconds,Saw a quick graceful moving object with a line of lights (mostly bright blue)  that turned on and off quickly. Object disappeared.,4/3/2011,38.670758,-121.50788200000001
40071,4/1/2011 23:00,alligator alley / miami,fl,us,rectangle,20,20 seconds,Alligator Alley / large Rectangular Craft with big circular lights on its underside flying low and fast at night.,5/2/2011,25.789097,-80.204044
40109,4/1/2014 19:00,deptford,nj,us,changing,600,10 minutes,Sparkling strings of lights floating in the sky.,4/4/2014,39.819722,-75.122778
40116,4/1/2014 21:30,port st. lucie,fl,us,light,900,15 minutes,Colored hovering light over Port Saint Lucie&#44 Florida.,4/4/2014,27.273049,-80.358226
40119,4/1/2014 23:00,port st. lucie,fl,us,unknown,120,2 minutes,Multi-colored lights in southern sky,4/4/2014,27.273049,-80.358226
40124,4/12/1978 09:00,s&atilde;o paulo (brazil),,br,cylinder,120,2 mn,Por volta de 9:00 da manha descendo a serra de santos de trem&#44perto de paranapiacaba avistei entre a fenda um objeto de forma cilindric,6/20/2005,-23.550520000000002,-46.633309000000004
40133,4/12/1993 21:00,new delhi (india),az,in,circle,120,2 minutes,It was UFO,2/24/2007,28.635308000000002,77.22496
40137,4/12/1996 02:00,nikishi,ak,us,,0,,Household awakened by obj. that streaked overhead.  Bright light in front&#44 vapor trail left in sky.  Obj. returned&#44 hovered&#44 turns red.,11/2/1999,60.690278,-151.28888899999998
40153,4/12/2000 20:30,puerta del zapatero mazamitla (mexico),,mx,light,300,5 minuets,Me and two other witnesses seen 3 lights in the sky on a evning walk.,3/19/2009,19.916576,-103.021292
40156,4/12/2000 21:45,alamo lake state park,az,us,unknown,10,< 10 seconds,A bright orange light appeared high in the sky while camping at Alamo Lake State Park.  Within minutes we heard the sound of non commer,4/26/2000,34.270891999999996,-113.569874
40158,4/12/2001 03:33,bay mills township,mi,us,fireball,2,0:02,Fireball in the sky over small lake in Michigan&#39s EUP.,8/5/2001,46.452490999999995,-84.721692
40161,4/12/2001 23:30,new delhi (india),,in,light,60,1 min,Red Light in Indian Capital,6/4/2004,28.635308000000002,77.22496
40172,4/12/2003 19:17,port st. lucie,fl,us,sphere,120.15,2min. 15sec.,11 year old Boy  spots UFO overhead while waiting for school bus.,7/23/2003,27.273049,-80.358226
